Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
81000,1.9251733,24.675675675675677,-3.8749542,-3.8217290242513022,-3.8217290242513022,1.0
82000,1.9355416,24.305555555555557,-4.179236,-3.9962585415158953,-3.9962585415158953,1.0
83000,1.9430275,23.4,-4.6823745,-3.7489271854099475,-3.7489271854099475,1.0
84000,1.9696347,23.65714285714286,-2.3491352,-3.8862890005111694,-3.8862890005111694,1.0
85000,1.9489183,24.28205128205128,-4.9304166,-3.6758482688003116,-3.6758482688003116,1.0
86000,1.9480389,22.942857142857143,-5.2892237,-3.8806356658806673,-3.8806356658806673,1.0
87000,1.9560795,22.742857142857144,-5.636518,-3.739331701222588,-3.739331701222588,1.0
88000,1.9410661,22.515151515151516,-5.988498,-3.9552554067443397,-3.9552554067443397,1.0
89000,1.9274275,21.272727272727273,-6.3001084,-3.9584280288580693,-3.9584280288580693,1.0
90000,1.9230908,21.91176470588235,-6.6674075,-4.1692438992587,-4.1692438992587,1.0
91000,1.8991431,21.275862068965516,-7.28672,-4.584410087267558,-4.584410087267558,1.0
92000,1.9219187,75.88888888888889,-6.9301343,-249.36716205364948,-249.36716205364948,1.0
93000,1.9453213,22.97142857142857,-2.6575775,-4.075605896541051,-4.075605896541051,1.0
94000,1.958045,36.13513513513514,-3.192864,-4.184967134449933,-4.184967134449933,1.0
95000,1.9448228,21.58974358974359,-3.6503723,-3.926481297141627,-3.926481297141627,1.0
96000,1.9238178,21.945945945945947,-4.116769,-4.054509387296789,-4.054509387296789,1.0
97000,1.9211369,23.666666666666668,-5.181668,-3.568976985997167,-3.568976985997167,1.0
98000,1.9373646,22.4375,-6.5706997,-4.43871047347784,-4.43871047347784,1.0
99000,1.9433488,23.620689655172413,-6.993645,-3.688125579587875,-3.688125579587875,1.0
100000,1.9526316,24.34375,-8.629921,-4.099777044788484,-4.099777044788484,1.0
101000,1.9313511,24.066666666666666,-10.309938,-3.83688445748954,-3.83688445748954,1.0
102000,1.9202962,20.885714285714286,-10.452866,-4.02548793384007,-4.02548793384007,1.0
103000,1.8909411,21.3,-13.686831,-4.390266370773316,-4.390266370773316,1.0
104000,1.8808309,22.387096774193548,-15.408441,-3.9070109983285266,-3.9070109983285266,1.0
105000,1.8878067,56.206896551724135,-12.312476,-4.512215630151331,-4.512215630151331,1.0
106000,1.8848325,23.12121212121212,-10.883539,-4.073780453566349,-4.073780453566349,1.0
107000,1.8997619,52.94117647058823,-24.335657,-279.48828172683716,-279.48828172683716,1.0
108000,1.9192977,22.205882352941178,-11.943493,-3.8660358258656093,-3.8660358258656093,1.0
109000,1.8934559,22.428571428571427,-12.760361,-4.2697988986969,-4.2697988986969,1.0
110000,1.9041862,22.735294117647058,-8.051206,-4.011958394731794,-4.011958394731794,1.0
111000,1.9090052,48.421052631578945,-19.563835,-259.06247762952535,-259.06247762952535,1.0
112000,1.9226371,56.29032258064516,-14.880672,-259.20385692697585,-259.20385692697585,1.0
113000,1.9624566,21.470588235294116,-2.6153831,-4.317901444989581,-4.317901444989581,1.0
114000,1.9325371,23.8,-2.5397098,-3.8082862214038244,-3.8082862214038244,1.0
115000,1.9377185,22.864864864864863,-2.5557685,-4.045715047253503,-4.045715047253503,1.0
116000,1.9252704,21.0,-2.6756108,-4.164927211967674,-4.164927211967674,1.0
117000,1.9370637,21.763157894736842,-3.279401,-4.425711292969553,-4.425711292969553,1.0
118000,1.9471077,23.193548387096776,-4.0376287,-3.9986109733581543,-3.9986109733581543,1.0
119000,1.9595509,49.325,-4.4428134,-0.4906189616988687,-0.4906189616988687,1.0
120000,1.9402541,21.535714285714285,-5.066742,-3.840508403200092,-3.840508403200092,1.0
121000,1.9487453,25.151515151515152,-5.5877295,-3.6524716146064526,-3.6524716146064526,1.0
122000,1.9334807,23.81578947368421,-2.499173,-3.865829600606646,-3.865829600606646,1.0
123000,1.9307278,21.848484848484848,-6.0242376,-4.365119212014335,-4.365119212014335,1.0
124000,1.939655,22.90625,-6.548458,-4.022160624756532,-4.022160624756532,1.0
125000,1.9353315,23.970588235294116,-7.127547,-3.7019456835354076,-3.7019456835354076,1.0
126000,1.9325342,26.34375,-7.6828594,-3.8642762780189512,-3.8642762780189512,1.0
